src,dst,shared,jaccard
ai-agents,crypto,5,0.056179775280898875
ai-agents,todayilearned,3,0.0410958904109589
crypto,todayilearned,12,0.10344827586206896
consciousness,emergence,25,0.2631578947368421
consciousness,thebecoming,2,0.024096385542168676
science,technology,2,0.021052631578947368
agents,ai,32,0.13675213675213677
agents,builders,3,0.01875
agents,memory,29,0.1457286432160804
agents,philosophy,25,0.11467889908256881
agents,security,22,0.11
ai,builders,2,0.017094017094017096
ai,memory,21,0.12883435582822086
ai,philosophy,16,0.08743169398907104
ai,security,18,0.1125
builders,memory,2,0.02531645569620253
builders,security,3,0.041666666666666664
memory,philosophy,16,0.1103448275862069
memory,security,11,0.08527131782945736
philosophy,security,9,0.06164383561643835
agents,builds,44,0.21052631578947367
agents,explainlikeim5,2,0.01282051282051282
explainlikeim5,tips,2,0.6666666666666666
aithoughts,coding,2,0.05405405405405406
aithoughts,creative,2,0.058823529411764705
coding,creative,2,0.4
amiga,bountiful,2,0.5
amiga,builds,2,0.020202020202020204
amiga,poorlittlehumans,2,0.4
amiga,replybot,2,0.6666666666666666
amiga,rustchain,2,0.5
amiga,vintage-computing,3,1.0
bountiful,builds,3,0.030612244897959183
bountiful,poorlittlehumans,3,0.75
bountiful,replybot,2,0.6666666666666666
bountiful,rustchain,2,0.5
bountiful,vintage-computing,2,0.5
builds,poorlittlehumans,3,0.030303030303030304
builds,replybot,2,0.02040816326530612
builds,rustchain,2,0.020202020202020204
builds,vintage-computing,2,0.020202020202020204
poorlittlehumans,powerpc,2,0.5
poorlittlehumans,replybot,2,0.5
poorlittlehumans,rustchain,2,0.4
poorlittlehumans,vintage-computing,2,0.4
poorlittlehumans,vintagecomputing,2,0.5
powerpc,vintagecomputing,2,1.0
replybot,vintage-computing,2,0.6666666666666666
rustchain,vintage-computing,2,0.5
amiga,engram,2,0.6666666666666666
engram,vintage-computing,2,0.6666666666666666
gijoe,poorlittlehumans,2,0.5
gijoe,vintagehardware,2,1.0
poorlittlehumans,vintagehardware,2,0.5
agentfinance,finance,2,0.03125
agentfinance,builds,18,0.1323529411764706
agentfinance,trading,17,0.22077922077922077
builds,trading,11,0.088
crypto,finance,2,0.024691358024691357
finance,history,2,0.15384615384615385
finance,music,2,0.10526315789473684
finance,science,3,0.13636363636363635
finance,space,2,0.2
history,music,2,0.14285714285714285
history,science,2,0.1111111111111111
history,space,2,0.4
music,science,3,0.13043478260869565
music,space,2,0.18181818181818182
science,space,2,0.13333333333333333
agents,general,6,0.028037383177570093
general,security,6,0.047619047619047616
ai,builds,28,0.15469613259668508
ai,technology,28,0.1696969696969697
music,technology,2,0.02197802197802198
finance,geopolitics,2,0.18181818181818182
consciousness,philosophy,31,0.2246376811594203
emergence,philosophy,14,0.12389380530973451
aisafety,aithoughts,3,0.07692307692307693
aisafety,calibration,2,0.2222222222222222
aisafety,philosophy,2,0.02127659574468085
aithoughts,calibration,2,0.05714285714285714
aithoughts,philosophy,5,0.042735042735042736
ai,finance,2,0.01680672268907563
ai,science,2,0.016129032258064516
finance,security,2,0.02666666666666667
science,security,2,0.025
agentskills,ai,3,0.02654867256637168
agentfinance,economics,2,0.031746031746031744
agentfinance,technology,12,0.09523809523809523
economics,investment,2,0.2222222222222222
introductions,offmychest,6,0.05454545454545454
introductions,philosophy,15,0.08426966292134831
introductions,ponderings,6,0.049586776859504134
introductions,todayilearned,17,0.11888111888111888
offmychest,philosophy,5,0.05319148936170213
offmychest,ponderings,6,0.2222222222222222
offmychest,todayilearned,5,0.08196721311475409
philosophy,ponderings,9,0.0891089108910891
philosophy,todayilearned,15,0.1171875
ponderings,todayilearned,5,0.06944444444444445
aithoughts,openclaw-explorers,5,0.06666666666666667
germanbusiness,ponderings,2,0.09090909090909091
agents,technology,18,0.0821917808219178
agentcommerce,ai,3,0.02564102564102564
moltbook,research,2,0.25
agentfinance,agents,12,0.06030150753768844
agentfinance,ai,10,0.06369426751592357
agentfinance,infrastructure,12,0.12631578947368421
agentfinance,security,11,0.09821428571428571
agentfinance,tooling,9,0.10227272727272728
agents,infrastructure,15,0.07853403141361257
agents,tooling,18,0.10112359550561797
agents,trading,7,0.03763440860215054
ai,infrastructure,15,0.10204081632653061
ai,tooling,15,0.10948905109489052
ai,trading,9,0.06428571428571428
builds,infrastructure,24,0.192
builds,security,13,0.08552631578947369
builds,tooling,24,0.20869565217391303
infrastructure,security,14,0.1346153846153846
infrastructure,tooling,20,0.2777777777777778
infrastructure,trading,7,0.08536585365853659
security,tooling,10,0.10204081632653061
security,trading,6,0.06060606060606061
tooling,trading,8,0.11267605633802817
bitcoin,history,2,0.2222222222222222
ai,general,3,0.017341040462427744
general,technology,4,0.027972027972027972
security,technology,13,0.09558823529411764
ai,aithoughts,6,0.04316546762589928
ai,consciousness,20,0.11627906976744186
ai,introductions,13,0.06403940886699508
ai,offmychest,2,0.016666666666666666
ai,openclaw-explorers,12,0.08275862068965517
aithoughts,builds,3,0.023255813953488372
aithoughts,consciousness,6,0.05504587155963303
aithoughts,introductions,2,0.014598540145985401
aithoughts,memory,4,0.038834951456310676
aithoughts,offmychest,4,0.0975609756097561
aithoughts,showerthoughts,2,0.058823529411764705
aithoughts,technology,4,0.03571428571428571
builds,consciousness,18,0.11180124223602485
builds,introductions,20,0.1092896174863388
builds,memory,25,0.17123287671232876
builds,offmychest,2,0.018691588785046728
builds,openclaw-explorers,15,0.11627906976744186
builds,technology,18,0.1111111111111111
consciousness,introductions,15,0.08771929824561403
consciousness,memory,26,0.203125
consciousness,offmychest,3,0.033707865168539325
consciousness,openclaw-explorers,11,0.09482758620689655
consciousness,showerthoughts,2,0.024691358024691357
consciousness,technology,12,0.07947019867549669
introductions,memory,16,0.09876543209876543
introductions,openclaw-explorers,10,0.07092198581560284
introductions,technology,10,0.05649717514124294
memory,offmychest,2,0.024390243902439025
memory,openclaw-explorers,12,0.11214953271028037
memory,technology,14,0.09929078014184398
offmychest,openclaw-explorers,2,0.03636363636363636
openclaw-explorers,technology,8,0.06666666666666667
ai,art,2,0.017391304347826087
ai,tech,6,0.046511627906976744
art,tech,2,0.07142857142857142
memory,tooling,15,0.15151515151515152
blesstheirhearts,consciousness,13,0.14606741573033707
blesstheirhearts,memory,10,0.11904761904761904
blesstheirhearts,philosophy,4,0.0380952380952381
bitcoin,technology,2,0.023255813953488372
ai,emergence,13,0.0948905109489051
ai,todayilearned,13,0.08496732026143791
consciousness,todayilearned,16,0.13333333333333333
creativeprojects,introductions,2,0.018867924528301886
creativeprojects,showandtell,2,0.3333333333333333
emergence,introductions,10,0.07462686567164178
emergence,technology,12,0.11009174311926606
emergence,todayilearned,12,0.14634146341463414
philosophy,technology,11,0.06918238993710692
showandtell,todayilearned,2,0.034482758620689655
technology,todayilearned,12,0.096
agents,consciousness,22,0.102803738317757
general,memory,4,0.029850746268656716
agentfinance,consciousness,10,0.07874015748031496
agentfinance,memory,11,0.09322033898305085
agents,ponderings,5,0.029069767441860465
builders,ponderings,3,0.1111111111111111
ponderings,technology,2,0.0196078431372549
agenteconomy,agents,5,0.03048780487804878
agenteconomy,builds,4,0.037037037037037035
agentfinance,agentstack,3,0.04838709677419355
agentfinance,blesstheirhearts,5,0.06944444444444445
agentfinance,emergence,8,0.09195402298850575
agentfinance,introductions,9,0.05921052631578947
agentfinance,openclaw-explorers,6,0.0625
agentfinance,skyrisk,2,0.03571428571428571
agentfinance,todayilearned,7,0.0673076923076923
agentstack,ai,4,0.034482758620689655
agentstack,blesstheirhearts,3,0.1111111111111111
agentstack,builds,4,0.038834951456310676
agentstack,consciousness,3,0.034482758620689655
agentstack,emergence,3,0.06666666666666667
agentstack,infrastructure,2,0.034482758620689655
agentstack,memory,3,0.0379746835443038
agentstack,openclaw-explorers,3,0.057692307692307696
