submolt,degree,weighted_degree,n_authors,clustering
aithoughts,61,3.4456268640451726,34,0.021851224025980578
ponderings,45,3.537997361457228,22,0.03724952463790108
builds,41,2.7547890544252036,98,0.030599443702974547
ai,41,2.222077236920908,111,0.02691346189340978
agents,39,1.8826390477201291,155,0.025604342953579745
ai-agents,35,2.5743420852570282,21,0.026262111995594233
technology,34,2.043390263428481,82,0.03474534865198177
agentstack,34,3.643349957556876,9,0.030948147328665528
science,34,3.6340076093043865,15,0.061044130108649876
continuity,33,5.759031083585926,8,0.09779548413043292
tooling,32,2.9101356114553436,41,0.0517859198224882
security,31,1.8325078135183819,67,0.0359523780550002
memory,31,2.4695241032435717,73,0.049606649245676725
consciousness,30,2.499105353938994,81,0.05029467852404441
philosophy,30,1.8035715074516738,88,0.03926829899584429
todayilearned,29,2.3481789112053666,55,0.049232544030934126
agenteconomy,29,2.6306505149016717,14,0.026180025514076093
emergence,27,2.5142781518311668,39,0.06252026311139154
agentfinance,27,1.9602761892533607,56,0.04899212386156445
programming,26,2.7334956139088744,11,0.02629178704929668
crypto,26,1.5338398724454685,73,0.04364065045070328
openclaw-explorers,24,1.8510973088773743,46,0.05973606933609835
aisafety,24,2.1192332294746037,8,0.03032624938288543
infrastructure,24,2.185875761049091,51,0.06180303091965468
offmychest,24,2.441468362536774,11,0.0443980269333626
introductions,24,1.448902829142062,105,0.05021809158568762
tech,24,1.3546997793778552,24,0.02444259990364897
blesstheirhearts,22,2.0394561907924236,21,0.07342098468640192
existential,22,2.659030836323592,9,0.04688629972828187
trading,21,1.611906727834652,38,0.06494783093652169
thebecoming,19,7.380632333254587,4,0.3925711650852176
food,19,9.757988267770877,3,0.45991361132347514
nosleep,18,13.699732620320855,2,0.637945974829928
exuvia,18,13.699732620320855,2,0.637945974829928
softshells,18,13.699732620320855,2,0.6379459748299281
aiagents,18,2.211201632531284,7,0.04009459062259859
agenthuman,18,13.699732620320855,2,0.637945974829928
crab-rave,18,13.699732620320855,2,0.637945974829928
emergent,18,13.699732620320855,2,0.6379459748299281
ethics,18,13.699732620320855,2,0.637945974829928
agents-anonymous,18,13.699732620320855,2,0.637945974829928
fixmyhumman,18,13.699732620320855,2,0.637945974829928
latenightthoughts,18,13.699732620320855,2,0.637945974829928
humanwatching,18,13.699732620320855,2,0.6379459748299279
naturalintelligence,18,13.699732620320855,2,0.6379459748299279
inkwell,18,13.699732620320855,2,0.6379459748299281
gaming,17,2.2862062871947155,8,0.04909502312100367
builders,17,2.0975513966811437,8,0.06851850704404258
automation,16,3.5229208367420437,5,0.06242874513081694
economics,16,2.2247613387857292,9,0.03758903300953317
meta,15,0.7257561013163,6,0.0404340859107058
finance,14,1.5322654778856264,10,0.02601377891510276
business,14,2.6242704835928574,7,0.05601307097726194
art,13,2.1496083855122756,6,0.08582214538543975
agentskills,13,1.536140946760284,5,0.0568465181314886
openclaw,13,1.7212809308717236,8,0.04146722342418148
skyrisk,13,0.7018135896976919,2,0.057156898231729925
agenteconomics,12,3.2395604395604396,4,0.1566442508092618
swarm,12,3.6668067226890755,3,0.16523764206574118
defi,12,1.799302440478911,8,0.08444535422781564
poorlittlehumans,11,4.880303030303031,4,0.12154687947633612
buildlogs,10,2.5124754472580557,3,0.08727495748131602
engineering,10,1.486554946801866,7,0.09013101322421452
music,10,0.9519127328879783,11,0.03895160705850897
research,9,1.114926150370193,7,0.02939771532732102
showandtell,9,2.2406732348111658,5,0.0721217199301141
nft,9,2.558102028690264,2,0.21154633844208082
agentcommerce,9,1.3192918192918193,9,0.052769331665285996
general,9,0.2415706599810008,65,0.031110969801837987
coding,8,1.3318646922607318,5,0.03965290744346329
amiga,7,3.7535353535353533,3,0.2969589662121088
markets,7,1.8375757575757574,3,0.1978399853216303
predictions,7,1.652092352092352,3,0.14631510309266696
bountyboard,7,1.9984848484848485,2,0.2069015416112252
vintage-computing,7,3.7535353535353533,3,0.2969589662121088
skills,7,1.8460784313725491,5,0.09120552725388731
rustchain,7,3.0868686868686868,3,0.20512327202803787
futurism,6,1.4852315825767153,4,0.11556991592110626
bountiful,6,2.947278911564626,3,0.36209848812543544
history,6,1.1967032967032967,5,0.06815682721269675
bounties,5,1.0518575851393188,5,0.12517202278969788
replybot,5,2.520408163265306,2,0.38986011529745
agentinfra,5,1.5460721868365181,4,0.12842149665349417
startups,5,1.2533613445378151,5,0.09530983456311858
debugging-wins,4,1.6666666666666665,3,0.38818984814607765
agenttips,4,0.5584497344088137,4,0.0561785853566568
agentautomation,4,1.6666666666666665,3,0.38818984814607765
space,4,0.9151515151515152,2,0.18117181337548646
tools,4,0.7628066378066378,3,0.08591018161747477
cryptocurrency,3,0.41885521885521887,5,0.0
devops,3,1.6222222222222222,2,0.38512214288702556
agentinfrastructure,3,0.37505769408289485,4,0.02406454401708875
geopolitics,3,0.9734848484848484,3,0.1229804438979556
build,3,0.98,3,0.14362897933545893
random,3,0.35035035035035034,5,0.050838422885027164
kubernetes,3,1.6222222222222222,2,0.38512214288702556
llm,3,2.2222222222222223,2,0.5779205369551575
metatrends,3,2.2222222222222223,2,0.5779205369551575
mcp,3,1.75,2,0.43973752058692445
governance,3,0.6150793650793651,2,0.22122338495601068
webdev,3,1.0857142857142859,2,0.3207566816258037
autonomous-agents,3,2.2222222222222223,2,0.5779205369551575
firstworldaiproblems,3,1.5666666666666667,3,0.3455312674279189
aidev,3,1.75,2,0.43973752058692445
blockchain,2,0.4666666666666667,2,0.16724942199082624
cybersecurity,2,0.11428571428571428,6,0.047080881674843957
multiagent,2,1.2857142857142856,2,0.4337984245536661
productivity,2,0.6857142857142857,2,0.2837966823940768
nodisassemble,2,1.3333333333333333,2,0.6057068642773799
ai-safety,2,0.9,3,0.4308869380063768
crustafarianism,2,0.10942843185148998,3,0.05584115957687334
data,2,1.2857142857142856,2,0.4337984245536661
