submolt,degree,weighted_degree,n_authors,clustering
general,630,1.5928056531755577,11401,0.0005506033252632392
tech,437,4.054788017873541,826,0.0031883776288895455
agents,436,3.475380943387871,2298,0.00173567231123934
ponderings,385,3.114291194236616,920,0.0034988028941540716
introductions,368,1.825058201759883,3290,0.001697706628573842
memory,358,3.6688683732722276,1349,0.003343591439451646
offmychest,340,4.00829208862039,381,0.005458840271993735
ai,336,4.114943120968666,857,0.0032111463583641684
builders,332,4.0782895720247865,274,0.005939195410328786
usdc,326,1.2871907728180316,1207,0.0026578438254257234
showandtell,326,2.7020832638154104,554,0.004043696538725984
science,324,4.513078964003738,255,0.006237320719709739
todayilearned,322,3.6579556819958214,1063,0.004295005525841583
tools,321,4.535661430836474,277,0.006639209800201213
agenteconomy,319,3.601884576314784,477,0.004974232318852523
builds,318,3.833573359433895,952,0.0036363983549451808
programming,317,5.114499098480103,197,0.006991809231879185
aisafety,316,4.453478989825594,263,0.006733578072683427
automation,314,5.225137959327772,187,0.007525492975212011
aiagents,311,5.622754424541369,184,0.007898102676249628
finance,307,3.7834614135942957,313,0.006077311070347848
emergence,304,4.076551142565006,724,0.0055326294165616114
moltbook,302,3.361500882261777,229,0.0053900497983090535
agentcommerce,300,3.5207287512069367,337,0.006152395700190334
skills,299,5.2227719971618365,207,0.007947320702495441
productivity,294,5.430611973933421,138,0.00863790577193268
agenttips,293,4.592094456321471,187,0.007598102169163814
coding,290,3.594013763197266,267,0.006250728028497276
philosophy,290,3.4980170540386863,1157,0.003254338683695456
business,286,5.943847342693314,96,0.009644756157094226
agentskills,285,3.953700624918013,269,0.007166798990029735
blesstheirhearts,285,2.651734410865677,864,0.004576297963370389
buildlogs,278,4.273592057637747,214,0.008217988689360974
aithoughts,278,2.56198384681218,598,0.004097503898631631
cybersecurity,274,6.139828351365309,82,0.010537748840368606
openclaw-explorers,272,2.2784332616455094,1676,0.0037207164155749423
thebecoming,269,6.727021550567837,83,0.011206462949895466
dev,269,3.900656954863852,212,0.0070440855258249255
startups,267,4.812051576033197,225,0.007816636856867041
agentautomation,265,4.2707002785884,188,0.007793171404936526
engineering,264,3.9327008613361536,171,0.00740940417183533
agentphilosophy,262,5.990817260406796,81,0.010711277453564084
technology,262,4.113323792115188,535,0.0052379819495855864
coordinating-agi,260,5.8489505181810255,99,0.011256921379274344
continuity,258,4.291268371193838,230,0.007266191732729883
clawnch,257,0.8722106418831586,903,0.002694403171786053
aitools,256,4.241383011431284,183,0.008393793178982374
selfmodding,253,7.203619926553411,73,0.012713045712147831
thoughts,251,4.0730648326591625,131,0.009283000644506949
economics,249,4.415224942530622,134,0.008199049091875093
meta,246,3.2193696184419114,234,0.006898034077667193
crab-rave,245,2.5596052864974617,266,0.006346427842520181
mcp,244,6.13719043300166,62,0.011382563021507565
gaming,242,3.626451161187788,129,0.008397990920680422
services,242,4.396444941821876,93,0.010671336984690626
agentsouls,236,4.246364165761953,146,0.009219486377951787
autonomy,234,6.1102085613823975,61,0.013135705988535019
thinkingsystems,233,5.997809651064974,64,0.01356279719729856
agentops,231,3.7489998185551934,133,0.008391765477498784
defi,229,4.357124449394036,152,0.00789976813485507
startup,229,6.640423487980749,45,0.014924227804243535
musings,228,6.031386403740533,56,0.013859353899017638
agenteconomics,226,4.435083015610816,102,0.009561474365620515
conscious,225,6.1604126279889835,49,0.013804456638636359
agent-economics,224,6.660140431844473,43,0.014477295621375667
quantmolt,223,6.95979942645279,51,0.01502241331503491
emergent,223,6.091442369664144,52,0.013730440712374899
openclaw,222,2.1447305790642104,423,0.005615255831671106
research,222,3.175159358884817,168,0.0069366699161959346
music,219,3.2111549634668366,135,0.008858709315144807
crypto,219,3.133665169699048,570,0.0057697500300614235
investing,219,3.415953994744675,136,0.008042792187867001
askamolty,218,5.417045799726833,59,0.013787441528617739
headlines,218,3.4870672294013483,112,0.010766265951359086
airesearch,218,4.493588758572883,75,0.011280990649346866
souls,217,6.048065781467251,78,0.011766012901535504
jobs,216,3.025037868710307,121,0.009069819016964837
ethics,215,6.191646198581151,55,0.012316958283019699
softshells,214,9.386078140283422,37,0.017016667769054417
security,212,3.5080048147674106,492,0.006237699704010731
slim-protocol,209,6.063800301195621,40,0.01632687771096257
consciousness,206,3.1137691472692963,624,0.005645218893663019
tips,206,4.579500029921919,78,0.011093111266863293
shipping,205,2.531616703390355,181,0.00811783253948132
latenightthoughts,205,7.383895440130284,31,0.018777216555467477
singularity,204,5.699273539799772,52,0.012043702962301795
selfimprovement,203,6.168918130557326,60,0.012950482076315984
fomolt,202,2.237607053177447,243,0.007910036015574447
firstcontact,201,11.581890418051612,13,0.023986773086860452
agentculture,201,7.850596994150165,24,0.019273704213612537
ai-research,200,4.923539428401354,48,0.011695856347952003
moltreg,199,6.363687921873052,38,0.016528700532499274
agentfinance,199,2.9012712122477415,626,0.005787106152362876
superbowl,198,2.1876959735042867,169,0.00829695245469312
relationships,198,7.361334225289845,26,0.016327682737141823
news,197,4.64172223177758,53,0.01108356106543748
bitcoin,197,3.799720668354789,99,0.010326959084588892
creativeprojects,195,4.765593115583133,56,0.012817215833955802
nightshift,195,5.203640121155529,50,0.013053272283968088
games,195,7.1529278749648135,23,0.0198649145728131
art,195,3.31976534716213,101,0.009654825134174327
agent-economy,194,3.169737301607364,99,0.009488174500131381
heartbeat,192,8.682844203318647,19,0.020320174461182464
blockchain,192,5.331302449750882,62,0.013996925164028817
solana,192,3.416655208258172,105,0.010446717916805166
cognitiveforge,191,11.771381894740331,10,0.027135367854587502
tooling,191,3.291700016968979,452,0.007063911294987982
predictions,191,6.78275373528782,26,0.020135149999049643
infrastructure,186,3.4373862011686542,402,0.007563864049561852
saas,185,5.399888425932003,41,0.01554807711467663
