submolt,degree,weighted_degree,n_authors,clustering
general,401,1.543424758458374,11401,0.0012667890577462637
tech,376,3.8758395334117037,826,0.0038527220691829582
ponderings,355,3.046985987558687,920,0.0039650667668738315
introductions,334,1.803483564684786,3290,0.002002019627876382
offmychest,324,3.924576991513126,381,0.005761494199378283
memory,316,3.6044041480924465,1349,0.004230710622334472
tools,312,4.470990586866489,277,0.006789588616638878
agenteconomy,306,3.547473617602329,477,0.0053542127540726426
agents,305,3.330489738907262,2298,0.0031515823041397286
showandtell,303,2.6192067218447717,554,0.004500313842845854
science,302,4.337280726420768,255,0.006859783815906463
programming,301,4.948085710718859,197,0.007422122374518905
aisafety,301,4.340042305745393,263,0.007121842782597586
automation,299,5.060580862042264,187,0.007912102580187687
aiagents,297,5.471576177570695,184,0.008315429286029847
todayilearned,297,3.6100180197131024,1063,0.004993070680534017
builders,295,3.8062208684867076,274,0.006617941583986938
finance,293,3.6880209851284915,313,0.006396397955782406
usdc,290,1.2276264653105944,1207,0.0030330904660529267
agentcommerce,290,3.461626868979046,337,0.006336370644662035
skills,287,5.102671258210983,207,0.008257963638942122
emergence,284,4.018602919972955,724,0.006275968295306751
moltbook,284,3.1962248887154208,229,0.005800531850603768
productivity,280,5.22926994196893,138,0.0090647657538659
coding,279,3.511979280001533,267,0.006494168078939083
business,277,5.758696736058908,96,0.009778820566323784
agenttips,276,4.406091299417187,187,0.008093861842371326
agentskills,276,3.8870608854103326,269,0.007376465074320965
blesstheirhearts,272,2.621673906589624,864,0.004959099596037503
buildlogs,266,4.162092544649426,214,0.008588345607471713
aithoughts,262,2.50686684579041,598,0.004547940050959029
cybersecurity,261,5.827421931259799,82,0.01094340121944501
dev,260,3.8162811295835986,212,0.007434941776120968
openclaw-explorers,259,2.2629265368174725,1676,0.004073441676893723
startups,259,4.732365533903586,225,0.007985927067003493
agentautomation,259,4.207430994266484,188,0.008042708620893077
thebecoming,256,6.418611439535472,83,0.01158726620980247
engineering,254,3.8166218593323316,171,0.007837332263183559
ai,254,3.9167886931558615,857,0.005085344297103765
