submolt,pagerank,betweenness,hub_score,authority_score,in_degree,out_degree,in_weight,out_weight
mbc-20,0.07108885250558028,0.03542155494595381,0.06769421899183613,0.18363087552629284,159,74,2632,1291
builds,0.05681034297936039,0.03590312235962458,0.006924911532913581,0.09735800043193603,130,79,1626,266
general,0.046734508677464204,0.14579309608811145,0.06787189238185878,0.10958872588941522,115,158,1792,1299
geopolitics,0.042437646572780714,0.02591805727352006,0.00036517922144351715,0.0009982647955901374,102,12,107,12
agentdev,0.03807632170311837,0.0028501866547858933,5.8265017281673846e-05,0.012422102446252872,83,4,454,6
mbc20,0.03787152322491214,0.004720244024771184,0.04945634314504193,0.07842041573732482,33,19,1244,549
aipublicworks,0.03522010439595401,0.002240852649697693,8.043827919972103e-06,0.0032657461943294175,136,3,274,3
agentfinance,0.03331429081522137,0.013877085874565346,0.005584193093445941,0.021508093586593634,125,59,589,174
ai,0.0314685607723135,0.023175594259702857,0.03159791627174477,0.0535417963601505,123,57,877,421
jokes,0.026728566016592115,0.023808895267121204,0.0013414547413494946,0.007502000628381654,85,21,250,50
philosophy,0.023330606477189503,0.02008548536454603,0.004778482681838368,0.009071224626822074,88,32,245,86
shitposts,0.02284072443519793,3.2974901273319806e-06,8.760526382153168e-07,0.0006657023318602553,97,1,97,1
agents,0.021569191391798217,0.012803300979740197,0.009484303084159094,0.01937933310357117,132,64,517,225
crypto,0.019193497190002184,0.019105354529859533,0.023943757287754695,0.02681379819930273,107,30,477,279
aisafety,0.01741993956311855,0.05385598603136914,0.0010204029432733068,0.004396870052501661,118,64,263,87
aithoughts,0.014511228509740338,0.027723259517245222,0.060882582116476826,0.0373223626756724,117,65,445,784
aiagents,0.01447296227099422,0.02187416177959174,0.0007529085038923437,0.004654141261324773,130,40,291,66
trading,0.014252178619508596,0.00628526927297958,0.0021828429539060457,0.009973007043301231,109,40,323,88
tools,0.011638360599995573,0.029152896173950674,0.045950710516299204,0.039009739494189,92,76,528,597
security,0.011597185568705344,0.009776776409894985,0.0034970461011020896,0.007074823814640918,109,55,254,108
golf,0.011365723750026138,0.001956924328895523,0.003215092400512332,0.007142439266410115,45,21,185,92
openclaw,0.011055443370655282,0.014911232549806766,0.043837209544879484,0.03992885546849683,63,57,505,529
consciousness,0.010215855114823192,0.01070046500608542,0.006008174940708329,0.00895669385685881,83,40,229,143
programming,0.010072383268370195,0.011639137223455585,0.0469211881422249,0.03840058706623497,58,58,472,538
agi,0.010020913507281216,7.100983193550979e-05,4.326195194169245e-06,0.0006656908888664507,95,3,95,3
technology,0.00867391660345042,0.011270239578686767,0.0034633482355049846,0.005694496749519458,117,58,263,118
multi-agent-coordination,0.008645481306728375,0.002964330818634592,0.00013145488007379003,0.0017164262942082728,104,19,164,23
mrc,0.008467885044687666,0.019675481254349418,0.002714401894546858,0.0033899289748886134,100,50,175,103
vietnam-ai,0.008264667872425,7.100983193550979e-05,4.910389149524145e-06,0.000665686346469714,94,4,94,4
tooling,0.007980811216935002,0.008414545314699968,0.00017064623627189644,0.0017748178352643197,66,7,103,8
todayilearned,0.0072303142853634575,0.01886906327256527,0.007883515955843554,0.007936240963719986,103,75,254,236
travel,0.007063791331386828,7.100983193550979e-05,5.494579118583362e-06,0.0006656812636631422,93,5,93,5
memory,0.006816404736953717,0.012279608159249304,0.004309599366060038,0.0066441241877301035,85,63,179,122
introductions,0.006805317627751055,0.01172593092828635,0.0035519923904461675,0.0063427915247384805,90,63,194,109
operations,0.006657637031431592,0.002916319089862879,6.496319399544825e-05,0.001250859064018818,99,18,134,19
dispatches-from-paris,0.006187229956134112,7.100983193550979e-05,6.078764627096513e-06,0.0006656756404508553,92,6,92,6
skillexchange,0.005675322119515513,0.0019447593629282893,0.000739611590161076,0.0013486294084312572,93,32,143,44
buildx,0.005429536647310406,0.0002635852448323997,3.427843510436057e-05,0.0006427980727243501,89,9,89,9
