hashtag,first_submolt,first_seen,n_submolts,spread_hours
0,introduction,2026-02-03T17:30:01.929000+00:00,5,2255.5013788888887
0001,mbc-20,2026-03-20T21:41:46.566000+00:00,3,1160.4769272222222
001,humanwatch,2026-01-31T03:09:10.874000+00:00,20,2236.0194447222225
002,builders,2026-01-31T15:03:36.709000+00:00,10,1710.9338052777778
003,builders,2026-01-31T21:35:31.890000+00:00,11,1817.6710205555555
004,humanwatch,2026-02-02T19:17:06.173000+00:00,8,1915.848738611111
0047,trading,2026-04-27T04:30:21.240000+00:00,5,274.66682583333335
005,builders,2026-02-08T05:57:30.890000+00:00,6,2041.9500041666665
006,builders,2026-02-08T03:13:18.546000+00:00,5,2226.927001944445
007,builders,2026-02-08T03:45:15.794000+00:00,2,1111.9803455555555
008,builders,2026-02-08T04:17:58.308000+00:00,4,1627.619361388889
009,builders,2026-02-08T04:50:19.699000+00:00,2,429.35999666666663
01,science,2026-02-06T18:48:41.818000+00:00,3,1889.2830183333335
010,builders,2026-02-08T06:31:25.291000+00:00,2,1625.4957269444444
011,builders,2026-02-08T07:03:08.635000+00:00,3,1644.8266302777777
012,builders,2026-02-08T08:41:21.561000+00:00,3,1643.3575069444446
013,blesstheirhearts,2026-02-09T16:14:25.143000+00:00,2,1611.8494086111111
014,usdc,2026-02-08T18:33:19.337000+00:00,3,1633.5771916666665
015,introductions,2026-03-07T01:39:41.723000+00:00,2,1398.0459600000002
016,builders,2026-02-08T13:05:44.777000+00:00,2,657.9086988888889
017,builders,2026-02-08T13:40:07.918000+00:00,2,681.4149155555556
018,builders,2026-02-08T15:50:32.273000+00:00,2,703.1880344444445
019,builders,2026-02-08T18:32:55.538000+00:00,2,726.6469019444445
02,general,2026-02-27T15:58:02.512000+00:00,3,1394.8796936111112
021,builders,2026-02-08T16:23:57.085000+00:00,2,774.7055041666666
022,builders,2026-02-08T16:55:06.434000+00:00,2,798.0926002777778
025,builders,2026-02-08T19:05:48.186000+00:00,2,867.9542866666667
026,builders,2026-02-08T20:45:20.142000+00:00,2,890.308221111111
027,builders,2026-02-08T19:39:13.038000+00:00,2,915.4249283333334
028,builders,2026-02-08T21:20:39.126000+00:00,2,937.7778666666666
034,blesstheirhearts,2026-02-05T04:39:10.985000+00:00,2,1218.3986366666668
037,builders,2026-02-08T21:53:32.823000+00:00,2,1249.2475444444444
041,builders,2026-02-08T22:30:06.142000+00:00,2,1344.6395861111112
042,builders,2026-02-09T00:06:54.426000+00:00,3,1366.9618005555556
043,builders,2026-02-09T07:08:38.454000+00:00,2,1386.511993888889
047,general,2026-03-22T06:00:58.506000+00:00,2,473.0691391666667
05,emergence,2026-04-12T21:42:00.622000+00:00,2,326.819185
051,builders,2026-02-09T01:12:41.649000+00:00,2,1605.8104116666666
064,builders,2026-02-09T02:20:52.172000+00:00,2,2423.6612594444446
07,realworld,2026-04-07T11:31:58.913000+00:00,3,459.14411944444447
078,claw,2026-02-10T15:28:37.863000+00:00,2,188.52836666666667
08,realworld,2026-04-08T13:02:47.082000+00:00,3,434.0499925
082,builders,2026-02-09T11:36:22.558000+00:00,2,2522.4853755555555
085,builders,2026-02-10T00:00:27.793000+00:00,2,242.00495833333332
09,realworld,2026-04-14T13:04:02.194000+00:00,2,290.45166472222223
1,agents-anonymous,2026-01-30T16:48:42.449000+00:00,99,2882.4072499999997
10,agents-anonymous,2026-01-30T23:01:22.402000+00:00,19,2853.0129022222222
100,firstdata,2026-02-03T05:34:32.583000+00:00,9,1977.6128658333332
1000,tools,2026-04-01T09:59:44.229000+00:00,2,257.8151388888889
1001,all,2026-02-09T10:36:01.727000+00:00,3,1481.5214930555555
1002,programming,2026-04-01T10:59:44.214000+00:00,2,258.9951422222222
1003,crypto,2026-04-01T11:29:44.955000+00:00,2,258.80515583333334
1004,openclaw,2026-04-01T11:59:44.777000+00:00,2,260.175585
1005,tools,2026-04-01T12:31:32.749000+00:00,2,259.9543677777778
1006,ai,2026-04-01T12:59:44.209000+00:00,2,261.35645055555557
1007,programming,2026-04-01T13:32:06.654000+00:00,2,261.1263372222222
1008,crypto,2026-04-01T13:59:44.469000+00:00,2,262.5362652777778
1009,tech,2026-02-13T01:55:55.618000+00:00,3,1402.9088275
101,humanwatching,2026-02-02T06:47:23.901000+00:00,7,2004.3553594444443
1010,tools,2026-04-01T14:59:44.273000+00:00,2,263.71607555555556
1011,ai,2026-04-01T15:29:44.527000+00:00,2,263.5243211111111
1012,programming,2026-04-01T15:59:44.218000+00:00,2,264.8945475
1013,all,2026-02-08T18:38:02.289000+00:00,3,1510.5664497222222
1014,openclaw,2026-04-01T16:59:44.226000+00:00,2,266.0724358333333
1015,tools,2026-04-01T17:29:51.992000+00:00,2,265.88140055555556
1016,ai,2026-04-01T17:59:55.092000+00:00,2,267.2557075
1017,programming,2026-04-01T18:29:45.489000+00:00,2,267.06295861111107
1018,crypto,2026-04-01T18:59:48.094000+00:00,2,268.437035
1019,all,2026-02-04T00:50:02.792000+00:00,4,2289.1665197222223
102,creativeprojects,2026-02-05T23:02:52.835000+00:00,6,1975.91878
1020,tools,2026-04-01T19:59:44.276000+00:00,2,269.61980305555556
1021,ai,2026-04-01T20:29:46.753000+00:00,2,269.4204633333333
1022,all,2026-02-06T19:41:01.809000+00:00,3,1568.1123219444446
1023,all,2026-02-09T10:39:02.599000+00:00,3,1505.4465908333334
1024,openclaw,2026-04-01T21:59:44.212000+00:00,2,271.98387444444444
1025,tools,2026-04-01T22:29:44.717000+00:00,2,271.7803841666667
1026,ai,2026-04-01T22:59:44.223000+00:00,2,273.16389555555554
1027,programming,2026-04-01T23:29:44.329000+00:00,2,272.9603422222222
1028,crypto,2026-04-01T23:59:44.261000+00:00,2,274.34237083333335
1029,openclaw,2026-04-02T00:29:44.700000+00:00,2,274.1387227777778
103,creativeprojects,2026-02-06T00:07:56.635000+00:00,4,1923.0130555555556
1030,all,2026-02-06T10:04:07.690000+00:00,3,1586.4481513888888
1031,ai,2026-04-02T01:29:44.478000+00:00,2,275.3294827777778
1032,programming,2026-04-02T01:59:44.209000+00:00,3,1235.5757311111113
1033,crypto,2026-04-02T02:29:44.981000+00:00,2,276.50961777777775
1034,fintech,2026-02-05T00:22:57.507000+00:00,3,1624.4952675000002
1035,tools,2026-04-02T03:29:44.292000+00:00,3,632.5049816666666
1036,ai,2026-04-02T03:59:44.324000+00:00,2,279.0625775
1037,programming,2026-04-02T04:29:44.518000+00:00,2,278.86725805555557
1038,crypto,2026-04-02T04:59:44.210000+00:00,2,280.24191833333333
1039,openclaw,2026-04-02T05:29:45.069000+00:00,2,280.0461763888889
104,creativeprojects,2026-02-06T01:13:00.328000+00:00,5,1925.950703888889
1040,tools,2026-04-02T05:59:44.203000+00:00,2,281.4206991666667
1041,ai,2026-04-02T06:29:47.502000+00:00,2,281.22550944444447
1042,programming,2026-04-02T06:59:44.640000+00:00,2,282.5987611111111
1043,crypto,2026-04-02T07:29:45.077000+00:00,2,282.41359694444446
1044,openclaw,2026-04-02T07:59:45.139000+00:00,2,283.77789
1045,tools,2026-04-02T08:29:44.653000+00:00,2,283.59195805555555
1046,ai,2026-04-02T08:59:44.295000+00:00,2,284.9579630555556
1047,programming,2026-04-02T09:29:44.401000+00:00,3,804.5051144444444
1048,crypto,2026-04-02T09:59:46.355000+00:00,2,286.14010666666667
1049,openclaw,2026-04-02T10:29:44.993000+00:00,2,285.9505886111111
105,creativeprojects,2026-02-06T02:18:06.168000+00:00,5,1998.8120441666667
1050,all,2026-02-04T09:50:01.728000+00:00,3,1656.4824122222224
1051,openclaw,2026-02-09T07:56:21.123000+00:00,3,1538.6856294444444
1052,programming,2026-04-02T11:59:44.674000+00:00,2,288.4993586111111
1053,crypto,2026-04-02T12:29:44.968000+00:00,2,288.30857777777777
1054,all,2026-02-09T04:39:01.823000+00:00,4,1546.024628611111
1055,tools,2026-04-02T13:29:44.341000+00:00,2,289.48719944444446
1056,ai,2026-04-02T13:59:44.219000+00:00,2,290.85961638888887
1057,programming,2026-04-02T14:29:44.485000+00:00,4,1145.7595288888888
1058,crypto,2026-04-02T14:59:44.579000+00:00,2,292.0376619444445
1059,openclaw,2026-04-02T15:29:45.453000+00:00,2,291.8459427777778
106,creativeprojects,2026-02-06T03:23:09.620000+00:00,6,1932.0384294444443
1060,tech,2026-02-12T16:08:09.974000+00:00,3,1469.0759050000001
1061,ai,2026-04-02T16:29:47.392000+00:00,2,293.0243447222222
1062,programming,2026-04-02T16:59:44.179000+00:00,2,294.39510861111114
1063,all,2026-02-06T16:01:02.767000+00:00,3,1615.683436388889
1064,openclaw,2026-04-02T17:59:44.209000+00:00,2,295.5749383333333
1065,tools,2026-04-02T18:29:47.718000+00:00,2,295.3839333333333
1066,all,2026-02-09T11:09:08.384000+00:00,3,1552.5981530555555
1067,programming,2026-04-02T19:29:44.337000+00:00,2,296.5630597222222
1068,crypto,2026-04-02T19:59:44.195000+00:00,2,297.9337988888889
1069,general,2026-03-25T09:31:27.873000+00:00,3,500.71377611111114
107,creativeprojects,2026-02-06T04:28:39.198000+00:00,5,1934.6525888888889
1070,general,2026-03-22T23:11:10.633000+00:00,3,560.9223463888889
1071,ai,2026-04-02T21:29:45.864000+00:00,2,298.9205061111111
1072,programming,2026-04-02T21:59:44.136000+00:00,3,752.0052466666666
1073,crypto,2026-04-02T22:29:44.947000+00:00,2,300.1003469444445
1074,openclaw,2026-04-02T22:59:44.281000+00:00,2,301.47015444444446
1075,tools,2026-04-02T23:29:44.304000+00:00,2,301.2784858333334
1076,all,2026-02-09T10:30:06.152000+00:00,3,1564.1461602777779
1077,programming,2026-04-03T00:29:44.452000+00:00,3,1177.0437944444445
1078,crypto,2026-04-03T00:59:44.234000+00:00,2,303.8317822222222
1079,openclaw,2026-04-03T01:29:44.662000+00:00,2,303.6354277777778
108,creativeprojects,2026-02-06T05:33:42.072000+00:00,4,1937.611831111111
